1,Big,Merck & Co.,Public,North America,California,South San Francisco,Massachusetts,Boston,"$10,124.0m",Actual,Yes,Yes,Yes,No,6%,$558.9m,$450.8m,$598.3m,$664.1m,$0.0m,,9%,10%,5%,3%,0%,28%,,3%,6%,2%,2%,0%,,6%,4%,4%,1%,0%,,,,$207.0m,$270.5m,$187.0m,$369.0m,$0.0m,,$351.9m,$180.3m,$411.4m,$295.2m,$0.0m,$296.2m,$252.4m,$335.1m,$371.9m,,"$11,750.9m","$2,765.4m",$680.3m,$548.6m,$728.2m,$808.3m,,"$1,083.0m","$1,079.6m","$2,765.4m",$425.3m,$652.0m,$276.7m,$105.2m,"$2,600.1m",$409.8m,$446.9m,$639.7m,$578.4m,$497.6m,$0.0m,$89.1m,$102.1m
2,Big,Roche,Public,Europe,Switzerland,Zurich,Germany,Penzberg,"$8,717.8m",Actual,Yes,Yes,Yes,Yes,5%,$413.6m,$445.4m,$915.8m,$665.7m,$0.0m,,7%,11%,9%,3%,1%,32%,,3%,6%,4%,2%,0%,,4%,5%,5%,1%,1%,,,,$173.4m,$261.4m,$433.8m,$428.0m,$0.0m,,$240.1m,$184.0m,$482.0m,$237.8m,$0.0m,$219.2m,$249.4m,$512.8m,$372.8m,,"$8,961.0m",,$509.2m,$548.4m,"$1,127.5m",$819.7m,,$571.8m,"$1,070.1m","$3,004.7m",$602.6m,$654.4m,$195.6m,$172.3m,$699.5m,$226.0m,$408.9m,$478.4m,$390.0m,$343.6m,$99.0m,$0.0m,$43.9m
3,Big,Novartis,Public,Europe,Switzerland,Basel,Massachusetts,Cambridge,"$7,916.0m",Actual,Yes,Yes,Yes,Yes,4%,$287.4m,$335.0m,$818.0m,$527.7m,$0.0m,,6%,10%,10%,3%,0%,29%,,4%,7%,6%,2%,0%,,2%,3%,4%,1%,0%,,,,$174.2m,$233.8m,$503.4m,$310.4m,$0.0m,,$113.2m,$101.1m,$314.6m,$217.3m,$0.0m,$152.3m,$187.6m,$458.1m,$295.5m,,"$11,197.6m",,$469.4m,$547.2m,"$1,336.3m",$862.0m,,$994.8m,"$1,032.9m","$3,214.9m",$641.0m,$754.8m,$198.5m,$249.9m,$816.2m,$361.0m,$413.0m,$724.9m,$533.3m,$789.8m,$230.0m,$51.2m,$191.3m
4,Big,Pfizer,Public,North America,California,La Jolla,California,San Francisco,"$7,872.0m",Actual,Yes,Yes,No,No,4%,$298.8m,$325.3m,$662.5m,$338.9m,$0.0m,,6%,9%,7%,2%,2%,26%,,3%,6%,5%,1%,1%,,3%,2%,2%,1%,1%,,,,$163.0m,$236.6m,$441.6m,$193.7m,$0.0m,,$135.8m,$88.7m,$220.8m,$145.2m,$0.0m,$158.4m,$182.2m,$371.0m,$189.8m,,"$7,745.9m",,$329.0m,$358.2m,$729.3m,$373.1m,,$98.6m,$756.3m,"$1,789.6m",$671.3m,$368.3m,$192.6m,$239.6m,$914.7m,$405.2m,$350.8m,$400.5m,$719.1m,$580.6m,$124.8m,$0.0m,$133.9m
5,Big,Johnson & Johnson,Public,North America,Ontario,Toronto,New Jersey,Raritan,"$6,967.0m",Actual,Yes,Yes,Yes,Yes,4%,$272.5m,$134.8m,$313.2m,$264.9m,$0.0m,,6%,4%,4%,2%,0%,16%,,3%,3%,2%,0%,0%,,3%,1%,2%,2%,0%,,,,$148.6m,$89.9m,$134.2m,$0.0m,$0.0m,,$123.9m,$44.9m,$179.0m,$264.9m,$0.0m,$144.4m,$75.5m,$175.4m,$148.3m,,"$8,014.9m",,$336.4m,$166.5m,$386.7m,$327.0m,,$573.9m,$830.8m,"$1,216.5m",$492.5m,$48.0m,$278.3m,$189.6m,"$1,622.5m",$124.6m,$538.5m,$462.0m,"$1,187.3m",$372.7m,$39.5m,$0.0m,$38.1m
6,Big,AstraZeneca,Public,Europe,United Kingdom,Alderley Park,Massachusetts,Boston,"$5,890.0m",Actual,Yes,Yes,No,No,5%,$323.8m,$341.1m,$641.5m,$372.3m,$0.0m,,8%,12%,9%,3%,0%,31%,,6%,8%,5%,1%,0%,,2%,3%,4%,2%,0%,,,,$229.8m,$242.6m,$339.6m,$148.9m,$0.0m,,$94.0m,$98.6m,$301.9m,$223.4m,$0.0m,$171.6m,$191.0m,$359.2m,$208.5m,,"$6,682.6m",,$400.6m,$422.1m,$793.7m,$460.6m,,"$1,065.3m",$227.7m,"$2,077.0m",$549.8m,$131.7m,$11.4m,$144.7m,$501.4m,$276.9m,$563.6m,$306.3m,$496.8m,$277.2m,$33.5m,$0.0m,$19.5m
7,Big,Sanofi,Public,Europe,France,Paris,,,"$5,722.1m",Actual,Yes,Yes,No,No,3%,$176.8m,$121.6m,$420.3m,$199.0m,$0.0m,,5%,5%,7%,2%,0%,18%,,1%,3%,2%,0%,0%,,4%,2%,4%,2%,0%,,,,$37.2m,$74.3m,$134.5m,$0.0m,$0.0m,,$139.6m,$47.3m,$285.8m,$199.0m,$0.0m,$93.7m,$68.1m,$235.4m,$111.5m,,"$4,430.5m",,$166.7m,$114.6m,$396.2m,$187.6m,,$226.6m,$352.1m,$865.1m,$289.1m,$134.6m,$166.5m,$48.6m,$661.1m,$138.9m,$270.9m,$200.2m,$571.2m,$316.5m,$22.3m,$46.6m,$120.2m
8,Big,Eli Lilly,Public,North America,Massachusetts,Cambridge,New York ,New York,"$5,244.0m",Actual,Yes,Yes,Yes,No,4%,$207.6m,$282.5m,$656.2m,$369.9m,$0.0m,,6%,11%,10%,3%,1%,31%,,3%,9%,7%,1%,0%,,3%,2%,3%,2%,1%,,,,$116.8m,$226.0m,$468.7m,$138.7m,$0.0m,,$90.8m,$56.5m,$187.5m,$231.2m,$0.0m,$110.0m,$158.2m,$367.5m,$207.2m,,"$5,460.7m",,$258.7m,$352.0m,$817.7m,$461.0m,,$34.3m,$974.9m,"$1,889.3m",$473.1m,$17.8m,$131.9m,$187.3m,$124.4m,$114.1m,$239.3m,$342.1m,$755.6m,$121.6m,$55.0m,$0.0m,$0.0m
9,Big,Gilead Sciences,Public,North America,California,Foster City,Washington,Seattle,"$5,098.0m",Actual,Yes,Yes,Yes,Yes,8%,$401.6m,$145.8m,$498.8m,$268.4m,$0.0m,,12%,6%,8%,2%,1%,30%,,8%,5%,6%,2%,1%,,4%,2%,2%,1%,0%,,,,$276.1m,$109.3m,$362.8m,$179.0m,$0.0m,,$125.5m,$36.4m,$136.0m,$89.5m,$0.0m,$212.9m,$81.6m,$279.3m,$150.3m,,"$6,443.3m",,$552.7m,$200.6m,$686.4m,$369.4m,,$425.4m,$90.0m,"$1,809.2m",$976.1m,$104.7m,$133.3m,$0.0m,"$1,776.7m",$0.0m,$262.9m,$155.5m,$697.4m,$12.3m,$0.0m,$0.0m,$0.0m
10,Big,Bristol-Myers Squibb,Public,North America,Massachusetts,Cambridge,New Jersey,New Brunswick,"$4,940.0m",Actual,Yes,Yes,Yes,No,3%,$171.6m,$182.6m,$805.8m,$407.7m,$0.0m,,5%,8%,14%,4%,1%,32%,,2%,3%,8%,1%,0%,,4%,5%,6%,2%,1%,,,,$57.2m,$66.4m,$475.2m,$163.1m,$0.0m,,$114.4m,$116.2m,$330.6m,$244.6m,$0.0m,$90.9m,$102.3m,$451.2m,$228.3m,,"$6,566.9m",,$275.2m,$293.0m,"$1,292.6m",$654.0m,,$163.3m,$485.5m,"$2,514.7m",$793.4m,$0.0m,$104.1m,$47.8m,$580.5m,$257.9m,$364.8m,$451.6m,$401.0m,$402.3m,$0.0m,$0.0m,$0.0m
11,Big,Celgene,Public,North America,Washington,Seattle,,,"$4,470.1m",Actual,Yes,Yes,Yes,Yes,10%,$456.5m,$370.3m,$630.6m,$335.0m,$0.0m,,14%,15%,10%,3%,0%,42%,,6%,9%,5%,1%,0%,,8%,6%,5%,2%,0%,,,,$188.0m,$224.1m,$315.3m,$143.6m,$0.0m,,$268.5m,$146.2m,$315.3m,$191.4m,$0.0m,$242.0m,$207.4m,$353.2m,$187.6m,,"$5,798.3m",,$788.3m,$639.5m,"$1,089.0m",$578.5m,,$112.1m,$354.4m,"$3,095.4m",$409.9m,$19.3m,$149.9m,$76.7m,$0.0m,$87.4m,$86.6m,$392.7m,$500.1m,$479.0m,$0.0m,$0.0m,$34.8m
